"region","date","value"
"Hillsborough County,FL","1",0.14859437751004
"Duval County,FL","1",0.112903225806452
"Clay County,FL","1",0
"Columbia County,FL","1",0.0636942675159236
"Pinellas County,FL","1",0
"Pasco County,FL","1",0
"Osceola County,FL","1",0.00574712643678161
"Orange County,FL","1",0.0225225225225225
"Putnam County,FL","1",NA
"Alachua County,FL","1",0
"Volusia County,FL","1",0.0153846153846154
"Leon County,FL","1",0.027027027027027
"St. Johns County,FL","1",0
"Miami-Dade County,FL","1",0
"Palm Beach County,FL","1",0
"Broward County,FL","1",0
"Martin County,FL","1",0
"Sumter County,FL","1",0
"Hernando County,FL","1",0
"Collier County,FL","1",0
"Lee County,FL","1",0
"Bay County,FL","1",0
"Indian River County,FL","1",0
"Marion County,FL","1",0
"St. Lucie County,FL","1",0
"Seminole County,FL","1",0
"Charlotte County,FL","1",0
"Citrus County,FL","1",0
"Brevard County,FL","1",0
"Sarasota County,FL","1",0
"Manatee County,FL","1",0
"Polk County,FL","1",0
"Nassau County,FL","1",0
"NULL,FL","1",0
"Flagler County,FL","1",0
"Lake County,FL","1",0
"Hillsborough County,FL","2",0.0763052208835341
"Duval County,FL","2",0.0645161290322581
"Clay County,FL","2",0.2
"Columbia County,FL","2",0.0254777070063694
"Pinellas County,FL","2",0
"Pasco County,FL","2",0
"Osceola County,FL","2",0.028735632183908
"Orange County,FL","2",0.0585585585585586
"Putnam County,FL","2",NA
"Alachua County,FL","2",0
"Volusia County,FL","2",0.0153846153846154
"Leon County,FL","2",0.018018018018018
"St. Johns County,FL","2",0
"Miami-Dade County,FL","2",0
"Palm Beach County,FL","2",0
"Broward County,FL","2",0
"Martin County,FL","2",0
"Sumter County,FL","2",0
"Hernando County,FL","2",0
"Collier County,FL","2",0
"Lee County,FL","2",0
"Bay County,FL","2",0
"Indian River County,FL","2",0
"Marion County,FL","2",0
"St. Lucie County,FL","2",0
"Seminole County,FL","2",0
"Charlotte County,FL","2",0
"Citrus County,FL","2",0
"Brevard County,FL","2",0
"Sarasota County,FL","2",0
"Manatee County,FL","2",0
"Polk County,FL","2",0
"Nassau County,FL","2",0
"NULL,FL","2",0
"Flagler County,FL","2",0
"Lake County,FL","2",0
"Hillsborough County,FL","3",0
"Duval County,FL","3",0.145161290322581
"Clay County,FL","3",0
"Columbia County,FL","3",0
"Pinellas County,FL","3",0
"Pasco County,FL","3",0
"Osceola County,FL","3",0.0459770114942529
"Orange County,FL","3",0
"Putnam County,FL","3",NA
"Alachua County,FL","3",0.0285714285714286
"Volusia County,FL","3",0
"Leon County,FL","3",0.018018018018018
"St. Johns County,FL","3",0
"Miami-Dade County,FL","3",0
"Palm Beach County,FL","3",0
"Broward County,FL","3",0
"Martin County,FL","3",0
"Sumter County,FL","3",0
"Hernando County,FL","3",0
"Collier County,FL","3",0
"Lee County,FL","3",0
"Bay County,FL","3",0
"Indian River County,FL","3",0
"Marion County,FL","3",0
"St. Lucie County,FL","3",0
"Seminole County,FL","3",0
"Charlotte County,FL","3",0
"Citrus County,FL","3",0
"Brevard County,FL","3",0
"Sarasota County,FL","3",0
"Manatee County,FL","3",0
"Polk County,FL","3",0
"Nassau County,FL","3",0
"NULL,FL","3",0
"Flagler County,FL","3",0
"Lake County,FL","3",0
"Hillsborough County,FL","4",0
"Duval County,FL","4",0.129032258064516
"Clay County,FL","4",0
"Columbia County,FL","4",0.00636942675159236
"Pinellas County,FL","4",0
"Pasco County,FL","4",0
"Osceola County,FL","4",0
"Orange County,FL","4",0.0135135135135135
"Putnam County,FL","4",NA
