"State","County","lon","lat"
"AR","Washington County",-94.1513764,35.9307703
"AR","Benton County",-94.479976,36.2661518
"AZ","Maricopa County",-112.4291464,33.2917968
"AZ","Yavapai County",-112.4291464,34.6463981
"CO","Jefferson County",-105.2662931,39.5800298
"CO","Arapahoe County",-104.332644,39.62031
"IA","Cerro Gordo County",-93.2029675,43.1543186
"LA","West Baton Rouge Parish",-91.3276422,30.4751202
"MA","Essex County",-70.9071236,42.7051144
"MA","Bristol County",-71.1448516,41.7938406
"MS","Yalobusha County",-89.6759101,33.9768292
"NM","Curry County",-103.2663479,34.5751567
"NM","Rio Arriba County",-106.7234639,36.6162892
"OK","Rogers County",-95.6457951,36.3898068
"OK","Cleveland County",-97.3516558,35.254964
"OK","McClain County",-97.4814163,35.0282316
"OK","Oklahoma County",-97.3516558,35.6038323
"TX","Fort Bend County",-95.8142885,29.5692614
"TX","Montgomery County",-95.4777811,30.3213482
"TX","McLennan County",-97.179026,31.5182285
"VA","Dinwiddie County",-77.6536125,37.0769043
"AR","Little River County",-94.19234,33.6808926
"AZ","Coconino County",-111.4752851,35.6647545
"IA","Kossuth County",-94.2333355,43.2513384
"LA","Caddo Parish",-93.8655303,32.6136798
"MA","Plymouth County",-70.7168469,41.9120406
"MA","Worcester County",-71.8571331,42.4096528
"MI","Genesee County",-83.6773928,43.0777289
"MN","Hennepin County",-93.5094574,45.0208911
"NC","Wake County",-78.5660852,35.8031909
"OK","Tulsa County",-95.940971,36.1593471
"OK","Canadian County",-98.0465185,35.5593784
"SC","Orangeburg County",-81.0754657,33.5635155
"TN","Hamilton County",-85.1479364,35.1618966
"TX","Taylor County",-99.8124935,32.2455088
"TX","Cass County",-94.315422,33.0944342
"TX","Dallas County",-96.8350999,32.8024682
"TX","Harris County",-95.3102505,29.7751825
"TX","Harrison County",-94.315422,32.5539228
"WI","Dane County",-89.5497632,43.0186073
"FL","Hillsborough County",-82.3017728,27.9903597
"IA","Linn County",-91.6760691,42.0659844
"NM","Bernalillo County",-106.6291304,35.0177854
"TX","Galveston County",-94.8520636,29.3763499
"TX","Williamson County",-97.6982272,30.7591685
"AZ","Pinal County",-111.2845025,32.8162061
"NC","Gaston County",-81.2078164,35.2895651
"TX","Wise County",-97.6982272,33.2895861
"TX","Denton County",-97.179026,33.1418611
"TX","Gregg County",-94.8520636,32.4892547
"TX","Bowie County",-94.479976,33.4473287
"VA","Spotsylvania County",-77.6077865,38.204165
"WI","Richland County",-90.3748354,43.4060497
"TX","Travis County",-97.6982272,30.2097015
"AZ","Pima County",-111.6660725,32.057499
"MA","Norfolk County",-71.1448516,42.17668
"IA","Hardin County",-93.1779659,42.4285425
"NC","Cleveland County",-81.6035062,35.361354
"TX","Burnet County",-98.2212979,30.7270349
"CO","Boulder County",-105.5005483,40.1512114
"IA","Chickasaw County",-92.3813621,43.0724667
"AR","Miller County",-93.8655303,33.3335556
"MA","Suffolk County",-71.0504229,42.3522866
"TX","Collin County",-96.4929797,33.1795213
"CO","Broomfield County",-105.0866504,39.9205411
"IA","Mitchell County",-92.8577105,43.3710702
"TX","Tarrant County",-97.3516558,32.7732044
"AR","Pulaski County",-92.2236667,34.7538615
"MN","Chisago County",-92.9550305,45.524828
"MI","Kent County",-85.520024,43.0097027
"OK","Washington County",-95.940971,36.6770984
"TX","Comal County",-98.2212979,29.8105572
"OK","Payne County",-97.0068393,36.1449988
"VA","Prince William County",-77.6077865,38.7838939
"NC","Alamance County",-79.4253776,36.0117388
"MN","Anoka County",-93.2197005,45.3292832
"AR","Lonoke County",-91.9099238,34.7591647
"CA","Imperial County",-115.4733554,33.0113694
"AR","Baxter County",-92.3813621,36.3261815
"GA","Lowndes County",-83.2934086,30.8600022
"AR","Faulkner County",-92.3813621,35.1035858
"NC","Orange County",-79.1096901,36.0263022
"NC","Durham County",-78.9031279,36.0221805
"NC","Union County",-80.543845,34.9338651
"NC","Rowan County",-80.543845,35.6303455
"AR","Johnson County",-93.5003454,35.6026275
"NC","Buncombe County",-82.4752757,35.5931377
"NC","Johnston County",-78.3842227,35.4403514
"NC","Cumberland County",-78.7476208,34.9542604
"NC","Henderson County",-82.4319405,35.3725873
"VA","Prince Edward County",-78.4297187,37.1982888
"NC","Watauga County",-81.734942,36.1941825
"NC","Pitt County",-77.4242972,35.5589221
"NC","Catawba County",-81.2518833,35.6840748
"NC","Lenoir County",-77.6077865,35.2326725
"NC","Carteret County",-76.5488232,34.9019263
"NC","Lee County",-79.1548533,35.4693744
"NC","Iredell County",-80.8986502,35.8310501
"TX","Wharton County",-96.1526985,29.3690932
"VA","Pittsylvania County",-79.4703885,36.7440186
"VA","Franklin County",-79.8296743,36.9458815
"NC","Wayne County",-77.973865,35.3565499
"NC","Guilford County",-79.8296743,36.0899873
"NC","Davidson County",-80.1875065,35.7748479
"NC","Forsyth County",-80.1875065,36.1200003
