"states","lon","lat"
"AK",-149.4936733,64.2008413
"AL",-86.902298,32.3182314
"AR",-91.8318334,35.20105
"AZ",-111.0937311,34.0489281
"CA",-119.4179324,36.778261
"CO",-105.7820674,39.5500507
"CT",-73.087749,41.6032207
"DE",-75.5276699,38.9108325
"FL",-81.5157535,27.6648274
"GA",-82.9000751,32.1656221
"HI",-155.5827818,19.8967662
"IA",-93.097702,41.8780025
"IL",-89.3985283,40.6331249
"IN",-86.1349019,40.2671941
"KS",-98.4842465,39.011902
"KY",-84.2700179,37.8393332
"LA",-91.9623327,30.9842977
"MA",-71.3824374,42.4072107
"MD",-76.6412712,39.0457549
"MI",-85.6023643,44.3148443
"MN",-94.6858998,46.729553
"MO",-91.8318334,37.9642529
"MS",-89.3985283,32.3546679
"MT",-110.3625658,46.8796822
"NC",-79.0192997,35.7595731
"ND",-101.0020119,47.5514926
"NE",-99.9018131,41.4925374
"NH",-71.5723953,43.1938516
"NJ",-74.4056612,40.0583238
"NM",-105.8700901,34.5199402
"NY",-74.0059413,40.7127837
"OH",-82.907123,40.4172871
"OK",-97.092877,35.0077519
"OR",-120.5542012,43.8041334
"PA",-77.1945247,41.2033216
"SC",-81.1637245,33.836081
"SD",-99.9018131,43.9695148
"TN",-86.5804473,35.5174913
"TX",-99.9018131,31.9685988
"UT",-111.0937311,39.3209801
"VA",-78.6568942,37.4315734
"WA",-120.7401386,47.7510741
"WI",-88.7878678,43.7844397
"WV",-80.4549026,38.5976262
"WY",-107.2902839,43.0759678
"NV",-116.419389,38.8026097
