"zips","lon","lat"
"10701",-73.8713099,40.9413523
"12065",-73.77132,42.837849
"12159",-73.8771901,42.6340869
"12180",-73.5829689,42.734263
"12901",-73.4416721,44.7478666
"13029",-76.1667807,43.2252766
"13031",-76.3058328,43.0328479
"13088",-76.1841701,43.1085295
"13210",-76.1261969,43.0347064
"13441",-75.4053367,43.219179
"13456",-75.2595731,42.9959082
"13601",-75.9230976,43.9959887
"13669",-75.5041352,44.6550526
"14618",-77.55621,43.1156031
"1501",-76.6665251,38.1280015
"15205",-80.0870155,40.4417703
"15301",-80.254435,40.1627412
"1545",-81.8705397,36.0621754
"1550",-88.3756455,36.5831643
"1585",-87.7038181,36.8349426
"1760",-82.7011427,38.0046946
"18224",-75.8650148,40.9762996
"1830",-84.8046978,38.6088877
"1844",-86.3139839,38.0368997
"18636",-76.1088001,41.4108386
"18655",-76.2015572,41.1857878
"18704",-75.9056753,41.2726012
"19933",-75.5975296,38.7352162
"19940",-75.5626039,38.4738588
"19947",-75.4111644,38.6706584
"19956",-75.5509602,38.5650227
"19973",-75.6440842,38.617809
"20147",-77.4816693,39.047958
"20152",-77.5275463,38.9091011
"20164",-77.3956004,39.0129178
"20175",-77.5848665,39.0488574
"20176",-77.5390127,39.2079214
"20191",-77.3439283,38.9302229
"2045",-84.5137134,38.9445773
"2062",-82.1150137,37.5095777
"20832",-77.067959,39.1457139
"20850",-77.1527813,39.0839994
"20876",-77.2290193,39.2046386
"20877",-77.1887747,39.1438746
"20895",-77.0737149,39.0182897
"21015",-76.3058328,39.566838
"21061",-76.6239423,39.1511679
"21204",-76.6354952,39.407567
"2135",-97.3421133,32.3142758
"21632",-75.7836589,38.7173336
"21643",-75.8301537,38.6408767
"2169",-82.0928134,33.348093
"2171",-87.5018104,37.2828461
"22025",-77.3381855,38.5947311
"22033",-77.3898602,38.8735614
"22180",-77.2577571,38.8950354
"22192",-77.3209555,38.6805859
"22405",-77.4013403,38.3273109
"22406",-77.5390127,38.3836812
"22407",-77.5848665,38.3056063
"22801",-78.8722341,38.4049904
"22960",-78.0423683,38.2289357
"2301",-84.6341323,37.0153787
"23606",-76.514138,37.0672839
"23666",-76.3984537,37.0538822
"23834",-77.3898602,37.2913946
"23901",-78.4069732,37.3438517
"23922",-78.2248291,37.1990366
"23947",-78.4524591,37.0100374
"23974",-78.2248291,36.9874577
"24121",-79.6277523,37.161924
"24273",-82.6375402,36.951317
"24501",-79.1209829,37.3594913
"24517",-79.233837,37.1583348
"24523",-79.5153773,37.3002291
"24528",-78.9061921,37.0961025
"24540",-79.4028639,36.6313237
"24541",-79.5378634,36.6006281
"24557",-79.3127543,36.9639589
"25302",-81.5980246,38.3883739
"25304",-81.614468,38.279687
"25550",-82.0625052,38.8637954
"26270",-79.5491044,38.861912
"26807",-79.4028639,38.6518998
"26814",-79.4816378,38.7937445
"27103",-80.3324514,36.0564654
"27104",-80.3268812,36.0937141
"27105",-80.2432839,36.1568627
